Wavelength,Spectrum_1
578.87891,-503.97905533940775
578.9392064773924,-503.97905533940775
578.9994997234646,-503.97905533940775
579.0597897380601,-531.8439628583308
579.1200765210216,228.69061812276337
579.1803600721922,240.69574098670716
579.2406403914148,60.69082169558212
579.3009174785326,96.67880449154589
579.3611913333887,84.68204266329805
579.4214619558257,-11.263631257616355
579.481729345687,126.6739815460716
579.5419935028157,58.691693929313324
579.6022544270545,152.67348301553665
579.6625121182466,106.67668189169042
579.7227665762349,14.716507479554439
579.7830178008626,134.6734695470904
579.8432657919726,38.701627691006195
579.903510549408,154.67358301401464
579.9637520730116,326.75039458141026
580.0239903626269,290.72378513647726
580.0842254180965,364.7840061601243
580.1444572392636,500.94665167341645
580.204685825971,350.77098018199047
580.264911178062,322.7471819064811
580.3251332953795,346.7673949894811
580.3853521777667,260.7056795578563
580.4455678250662,514.966838833384
580.5057802371214,454.884656539945
580.5659894137751,386.8059507036782
580.6261953548706,232.69225489649742
580.6863980602506,504.95235812760774
580.7465975297583,366.78592714981716
580.8067937632368,406.82742592330067
580.866986760529,454.884656539945
580.9271765214777,456.8872099072804
580.9873630459264,208.68351124098268
581.047546333718,298.7292455346999
581.1077263846951,524.9816225017556
581.1679031987011,378.79776487153873
581.228076775579,372.79177943940687
581.2882471151719,268.71013696213157
581.3484142173226,196.6801216557786
581.4085780818741,336.75870076914833
581.4687387086697,330.7536701642403
581.5288960975521,352.77279565219277
581.5890502483646,368.7878630529246
581.64920116095,496.9409946942793
581.7093488351516,422.8456249997593
581.7694932708122,404.8252141956972
581.8296344677748,360.7802090813384
581.8897724258825,350.77098018199047
581.9499071449784,382.80182859738534
582.0100386249053,476.91346204529594
582.0701668655065,334.75700832494476
582.1302918666247,454.884656539945
582.1904136281033,599.1000121730121
582.2505321497852,298.7292455346999
582.3106474315133,805.5015536500698
582.3707594731304,470.90545027940567
582.4308682744801,192.67913972694103
582.490973835405,589.0831218053612
582.5510761557483,376.7957550002474
582.6111752353528,328.75202452998855
582.6712710740618,400.82083327118045
582.7313636717183,549.0183129764209
582.7914530281652,306.73496692248887
582.8515391432454,306.73496692248887
582.9116220168021,334.75700832494476
582.9717016486785,262.70676832843645
583.0317780387172,547.0151912366135
583.0918511867616,530.9906362816097
583.1519210926546,448.8770758574561
583.211987756239,400.82083327118045
583.2720511773581,164.6743749683222
583.3321113558549,328.75202452998855
583.3921682915721,545.0120810535822
583.4522219843533,366.78592714981716
583.5122724340412,282.7185884388548
583.5723196404784,639.1702013277187
583.6323636035087,526.9846152007126
583.6924043229748,412.8341457017804
583.7524417987196,382.80182859738534
583.812476030586,346.7673949894811
583.8725070184175,398.81866415210135
583.9325347620568,292.7251256202889
583.9925592613471,364.7840061601243
584.052580516131,470.90545027940567
584.112598526252,418.840991561684
584.172613291553,372.79177943940687
584.2326248118769,316.7424815708755
584.2926330870666,326.75039458141026
584.3526381169656,454.884656539945
584.4126399014167,448.8770758574561
584.4726384402626,234.6930999177802
584.5326337333465,498.94381698147396
584.5926257805118,567.046922997122
584.6526145816011,480.9188673069349
584.7126001364576,448.8770758574561
584.7725824449241,416.83869566363285
584.832561506844,452.8821163842769
584.89253732206,500.94665167341645
584.9525098904153,488.9298303150213
585.0124792117527,472.90810800219816
585.0724452859156,296.72785586176
585.1324081127467,438.8647083673761
585.1923676920891,454.884656539945
585.2523240237858,380.7997894171289
585.31227710768,356.77647213790937
585.3722269436146,623.1416300749097
585.4321735314325,579.0665024845099
585.4921168709769,242.69665653049856
585.5520569620907,530.9906362816097
585.6119938046171,543.008982461997
585.6719273983989,422.8456249997593
585.7318577432792,534.9967047055305
585.7917848391012,394.8143687953523
585.8517086857076,368.7878630529246
585.9116292829417,745.374926838634
585.9715466306463,390.81013087460525
586.0314607286647,418.840991561684
586.0913715768397,188.67823237349555
586.1512791750145,394.8143687953523
586.2111835230317,352.77279565219277
586.2710846207348,330.7536701642403
586.3309824679667,190.67867670538072
586.3908770645703,402.82301663202855
586.4507684103887,332.75533144294457
586.5106565052649,278.7160898295753
586.5705413490422,563.0404858444234
586.6304229415631,667.2217347047125
586.6903012826708,468.90280547153094
586.7501763722086,386.8059507036782
586.8100482100192,372.79177943940687
586.8699167959459,470.90545027940567
586.9297821298314,442.8696150907644
586.989644211519,336.75870076914833
587.0495030408516,601.1034224050217
587.1093586176723,322.7471819064811
587.169210941824,386.8059507036782
587.2290600131498,232.69225489649742
587.2889058314926,314.74094660559564
587.3487483966958,436.8622752551783
587.4085877086019,392.81224263588814
587.4684237670542,404.8252141956972
587.5282565718958,575.0599315888676
587.5880861229696,450.8795894776395
587.6479124201186,905.7273227096582
587.7077354631858,494.938184847891
587.7675552520144,360.7802090813384
587.8273717864473,314.74094660559564
587.8871850663274,210.68414041495197
587.9469950914981,577.0632115149285
588.006801861802,350.77098018199047
588.0666053770824,308.73643773295584
588.1264056371821,464.8975547481343
588.1862026419443,478.9161582921288
588.2459963912121,272.71246755318504
588.3057868848282,464.8975547481343
588.3655741226358,162.67417780588747
588.4253581044779,484.92432349417464
588.4851388301978,368.7878630529246
588.5449162996382,382.80182859738534
588.6046905126419,354.7746263176501
588.6644614690526,218.68683900318356
588.7242291687129,92.67979965813505
588.7839936114657,302.7320737736816
588.8437547971542,230.6914276166695
588.9035127256215,388.80803355076165
588.9632673967105,390.81013087460525
589.0230188102643,316.7424815708755
589.0827669661257,518.9727161939542
589.1425118641381,543.008982461997
589.2022535041443,252.70149617135272
589.2619918859874,282.7185884388548
589.3217270095101,410.8318917150742
589.381458874556,302.7320737736816
589.4411874809676,565.0436987971237
589.5009128285883,396.8165093138014
589.5606349172608,274.7136581697277
589.6203537468284,284.7198627424363
589.680069317134,90.68032875125822
589.7397816280205,146.6733006535131
589.7994906793311,348.7691799475596
589.8591964709088,280.7173307869717
589.9188990025966,374.79375984295064
589.9785982742376,344.76562534839877
590.0382942856746,438.8647083673761
590.0979870367507,444.8720886264447
590.1576765273093,539.0028201921339
590.2173627571929,573.0566627401502
590.2770457262445,601.1034224050217
590.3367254343076,262.70676832843645
590.396401881225,388.80803355076165
590.4560750668396,508.9581137695599
590.5157449909944,545.0120810535822
590.5754116535328,312.73942761634555
590.6350750542974,242.69665653049856
590.6947351931315,422.8456249997593
590.7543920698778,256.7035534382979
590.8140456843797,392.81224263588814
590.87369603648,214.68545342079747
590.9333431260219,150.67340259111288
590.992986952848,92.67979965813505
591.0526275168017,234.6930999177802
591.1122648177262,286.72115365499377
591.1718988554642,490.93260262205735
591.2315296298584,222.68829680227017
591.2911571407526,288.7224611338708
591.3507813879893,514.966838833384
591.4104023714118,308.73643773295584
591.4700200908627,278.7160898295753
591.5296345461854,278.7160898295753
591.5892457372229,583.0731174192249
591.648853663818,284.7198627424363
591.7084583258139,492.93538747842524
591.7680597230536,418.840991561684
591.8276578553803,412.8341457017804
591.8872527226366,334.75700832494476
591.9468443246658,366.78592714981716
592.0064326613109,336.75870076914833
592.0660177324148,254.7025161764294
592.1255995378208,480.9188673069349
592.1851780773717,238.69484300718224
592.2447533509104,452.8821163842769
592.3043253582803,424.84796246305586
592.3638940993242,480.9188673069349
592.4234595738849,601.1034224050217
592.4830217818059,440.8671549918333
592.5425807229299,645.1810818048386
592.6021363970999,446.87457556120995
592.661688804159,462.89494890656056
592.7212379439504,597.0966126161609
592.7807838163169,402.82301663202855
592.8403264211016,376.7957550002474
592.8998657581474,376.7957550002474
592.9594018272976,278.7160898295753
593.018934628395,318.7440324705115
593.0784641612826,416.83869566363285
593.1379904258035,260.7056795578563
593.1975134218009,348.7691799475596
593.2570331491174,512.9639183129137
593.3165496075966,641.1738181736497
593.3760627970809,426.85031370480914
593.4355727174136,496.9409946942793
593.4950793684378,426.85031370480914
593.5545827499966,376.7957550002474
593.6140828619326,248.69950810653324
593.6735797040893,484.92432349417464
593.7330732763095,234.6930999177802
593.7925635784361,468.90280547153094
593.8520506103125,408.8296517760139
593.9115343717814,358.7783330725807
593.9710148626859,536.9997565834823
594.030492082869,284.7198627424363
594.0899660321738,228.69061812276337
594.1494367104433,496.9409946942793
594.2089041175205,539.0028201921339
594.2683682532482,573.0566627401502
594.32782911747,310.73792464486434
594.3872867100284,406.82742592330067
594.4467410307666,392.81224263588814
594.5061920795276,350.77098018199047
594.5656398561543,468.90280547153094
594.6250843604902,284.7198627424363
594.6845255923778,402.82301663202855
594.7439635516602,374.79375984295064
594.8033982381806,208.68351124098268
594.862829651782,462.89494890656056
594.9222577923074,506.955229818033
594.9816826595998,484.92432349417464
595.041104253502,264.7078741815895
595.1005225738573,458.8897764489803
595.1599376205089,426.85031370480914
595.2193493932992,364.7840061601243
595.2787578920719,316.7424815708755
595.3381631166698,276.71486560952013
595.3975650669356,376.7957550002474
595.4569637427126,454.884656539945
595.5163591438439,472.90810800219816
595.5757512701725,498.94381698147396
595.6351401215412,324.7487803597911
595.694525697793,645.1810818048386
595.7539079987714,376.7957550002474
595.8132870243189,294.7264825428474
595.8726627742789,428.8526786868081
595.9320352484941,382.80182859738534
595.9914044468077,555.0277471906476
596.0507703690628,284.7198627424363
596.1101330151022,500.94665167341645
596.169492384769,308.73643773295584
596.2288484779064,444.8720886264447
596.2882012943571,392.81224263588814
596.3475508339645,340.7621321801181
596.4068970965714,340.7621321801181
596.4662400820207,410.8318917150742
596.5255797901558,414.8364136974927
596.5849162208194,524.9816225017556
596.6442493738544,695.2751456473784
596.7035792491043,400.82083327118045
596.7629058464119,372.79177943940687
596.8222291656201,458.8897764489803
596.8815492065718,350.77098018199047
596.9408659691105,408.8296517760139
597.0001794530789,334.75700832494476
597.0594896583201,528.9876198057259
597.1187965846769,410.8318917150742
597.1781002319927,282.7185884388548
597.2374006001104,344.76562534839877
597.2966976888729,220.6875588980863
597.3559914981231,384.80388237273775
597.4152820277044,268.71013696213157
597.4745692774596,496.9409946942793
597.5338532472318,388.80803355076165
597.5931339368639,458.8897764489803
597.6524113461991,344.76562534839877
597.7116854750802,314.74094660559564
597.7709563233504,434.8598556930858
597.8302238908526,372.79177943940687
597.8894881774299,236.69396263611878
597.9487491829254,446.87457556120995
598.0080069071822,358.7783330725807
598.0672613500428,416.83869566363285
598.1265125113508,581.0698044638455
598.1857603909489,272.71246755318504
598.2450049886803,528.9876198057259
598.3042463043878,376.7957550002474
598.3634843379148,380.7997894171289
598.4227190891039,545.0120810535822
598.4819505577984,370.78981382943664
598.541178743841,372.79177943940687
598.6004036470752,603.1068432790355
598.6596252673437,508.9581137695599
598.7188436044897,426.85031370480914
598.7780586583559,807.5058956326319
598.8372704287858,599.1000121730121
598.8964789156221,254.7025161764294
598.9556841187078,384.80388237273775
599.0148860378861,617.1310845998827
599.0740846729999,466.9001736154591
599.1332800238923,208.68351124098268
599.1924720904062,452.8821163842769
599.2516608723847,661.2105308441037
599.310846369671,264.7078741815895
599.3700285821078,354.7746263176501
599.4292075095384,290.72378513647726
599.4883831518055,496.9409946942793
599.5475555087523,234.6930999177802
599.606724580222,651.1920516206492
599.6658903660575,733.3504833038852
599.7250528661016,502.949498734108
599.7842120801976,641.1738181736497
599.8433680081883,394.8143687953523
599.9025206499169,336.75870076914833
599.9616700052264,583.0731174192249
600.0208160739598,192.67913972694103
600.0799588559602,444.8720886264447
600.1390983510705,382.80182859738534
600.1982345591337,651.1920516206492
600.2573674799929,408.8296517760139
600.3164971134911,316.7424815708755
600.3756234594714,506.955229818033
600.4347465177766,414.8364136974927
600.4938662882499,250.7004934667908
600.5529827707345,504.95235812760774
600.6120959650732,444.8720886264447
600.6712058711088,526.9846152007126
600.7303124886847,376.7957550002474
600.7894158176437,476.91346204529594
600.8485158578289,452.8821163842769
600.9076126090835,466.9001736154591
600.9667060712502,380.7997894171289
601.0257962441723,380.7997894171289
601.0848831276926,376.7957550002474
601.1439667216541,452.8821163842769
601.2030470259001,450.8795894776395
601.2621240402734,374.79375984295064
601.3211977646172,472.90810800219816
601.3802681987742,378.79776487153873
601.4393353425878,270.7112938029461
601.4983991959009,320.7455992628948
601.5574597585563,314.74094660559564
601.6165170303972,432.85744971900493
601.6755710112668,314.74094660559564
601.7346217010079,314.74094660559564
601.7936690994635,242.69665653049856
601.8527132064766,599.1000121730121
601.9117540218905,406.82742592330067
601.9707915455479,404.8252141956972
602.029825777292,484.92432349417464
602.0888567169657,350.77098018199047
602.1478843644121,394.8143687953523
602.2069087194743,278.7160898295753
602.2659297819953,310.73792464486434
602.3249475518179,380.7997894171289
602.3839620287854,430.8550573709031
602.4429732127408,516.9697714722417
602.5019811035269,458.8897764489803
602.5609857009867,456.8872099072804
602.6199870049636,388.80803355076165
602.6789850153004,286.72115365499377
602.7379797318401,412.8341457017804
602.7969711544256,412.8341457017804
602.8559592829002,436.8622752551783
602.9149441171068,240.69574098670716
602.9739256568884,378.79776487153873
603.0329039020879,356.77647213790937
603.0918788525486,260.7056795578563
603.1508505081134,450.8795894776395
603.2098188686252,330.7536701642403
603.2687839339271,506.955229818033
603.3277457038622,230.6914276166695
603.3867041782736,418.840991561684
603.445659357004,286.72115365499377
603.5046112398967,418.840991561684
603.5635598267946,352.77279565219277
603.6225051175408,452.8821163842769
603.6814471119783,340.7621321801181
603.74038580995,555.0277471906476
603.799321211299,599.1000121730121
603.8582533158685,476.91346204529594
603.9171821235013,392.81224263588814
603.9761076340404,356.77647213790937
604.035029847329,380.7997894171289
604.0939487632102,362.7821001239195
604.1528643815267,256.7035534382979
604.2117767021215,412.8341457017804
604.270685724838,458.8897764489803
604.3295914495191,140.6732957361774
604.3884938760076,563.0404858444234
604.4473930041466,478.9161582921288
604.5062888337794,406.82742592330067
604.5651813647488,458.8897764489803
604.6240705968978,571.0534050026542
604.6829565300693,420.8433013531909
604.7418391641066,430.8550573709031
604.8007184988527,344.76562534839877
604.8595945341505,394.8143687953523
604.9184672698428,543.008982461997
604.9773367057732,396.8165093138014
605.0362028417842,589.0831218053612
605.0950656777192,434.8598556930858
605.1539252134207,456.8872099072804
605.2127814487322,418.840991561684
605.2716343834968,428.8526786868081
605.3304840175572,569.0501584103145
605.3893303507564,314.74094660559564
605.4481733829376,452.8821163842769
605.5070131139439,396.8165093138014
605.565849543618,466.9001736154591
605.6246826718033,769.4247144308508
605.6835124983426,290.72378513647726
605.7423390230789,230.6914276166695
605.8011622458553,555.0277471906476
605.8599821665147,306.73496692248887
605.9187987849003,322.7471819064811
605.9776121008553,478.9161582921288
606.0364221142222,454.884656539945
606.0952288248443,426.85031370480914
606.1540322325646,402.82301663202855
606.2128323372262,292.7251256202889
606.2716291386722,298.7292455346999
606.3304226367453,775.4373443641102
606.3892128312888,444.8720886264447
606.4479997221456,398.81866415210135
606.5067833091589,416.83869566363285
606.5655635921713,518.9727161939542
606.6243405710262,336.75870076914833
606.6831142455667,230.6914276166695
606.7418846156354,557.0309148119918
606.8006516810756,268.71013696213157
606.8594154417303,316.7424815708755
606.9181758974428,575.0599315888676
606.9769330480556,430.8550573709031
607.0356868934117,547.0151912366135
607.0944374333548,358.7783330725807
607.1531846677273,272.71246755318504
607.2119285963724,518.9727161939542
607.2706692191331,434.8598556930858
607.3294065358526,386.8059507036782
607.3881405463736,514.966838833384
607.4468712505396,657.203109915339
607.5055986481931,328.75202452998855
607.5643227391774,524.9816225017556
607.6230435233356,490.93260262205735
607.6817610005105,390.81013087460525
607.7404751705452,595.0932237676774
607.7991860332828,631.1558344904604
607.8578935885662,298.7292455346999
607.9165978362386,476.91346204529594
607.9752987761428,749.3831421677091
608.033996408122,360.7802090813384
608.0926907320192,382.80182859738534
