Wavelength,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
578.87891,-499.45479558390025,-418.8898057136506,-582.667731154377,-407.8413213092247,-411.6450233397953
578.9392064773924,-499.45479558390025,-418.8898057136506,-582.667731154377,-407.8413213092247,-411.6450233397953
578.9994997234646,-499.45479558390025,-418.8898057136506,-582.667731154377,-407.8413213092247,-411.6450233397953
579.0597897380601,-445.6912936803004,-462.71036306951675,-441.3455607867457,-469.5896284214177,-439.534786489705
579.1200765210216,171.22060940985324,174.1301128376946,169.58403151728513,121.21997024512626,177.40335241761244
579.1803600721922,133.21899328945676,120.12918609537034,145.5823774326451,179.2218408423856,177.40335241761244
579.2406403914148,21.25757913748534,-19.80168938078909,41.6091357928495,3.27022611603964,33.431890071225986
579.3009174785326,111.2213428885278,130.1282664534282,143.5823667883903,99.2236693520844,95.40638476518946
579.3611913333887,127.21939095345179,130.1282664534282,113.58460862934324,137.2188284438511,121.4017681915591
579.4214619558257,25.255021227128786,50.15021321589962,17.623620126212543,21.25757913748534,-4.5418767491734675
579.481729345687,143.2187306141775,126.12857364071915,187.58708881362375,125.21956380562476,115.4025248508458
579.5419935028157,39.246781857581084,36.15759694422698,75.59409476589872,31.251354716616408,13.444660992874457
579.6022544270545,175.2211870335152,136.12795638424498,131.5827201683902,161.21950110452119,123.40155667858075
579.6625121182466,17.260228389015715,136.12795638424498,107.58560556433653,77.22989282015529,51.42232317842409
579.7227665762349,41.24569469567448,28.162308971507503,23.619692995126794,-14.715238989318722,-18.53009127923154
579.7830178008626,49.241568718881915,90.13502215904573,129.58284905171644,85.22733352653871,143.40054861949164
579.8432657919726,23.256288790689457,6.177146174747264,31.61477541175811,-14.715238989318722,-14.533577191228641
579.903510549408,67.23357396921027,58.146481059858075,125.58316723837147,85.22733352653871,147.40058606008063
579.9637520730116,265.2536332823965,334.211094902949,407.7375268349095,387.351971860378,437.5904311847339
580.0239903626269,201.22678208796052,284.1740590106741,373.7017687004076,367.33190819151463,351.49891131956144
580.0842254180965,303.27791902476946,382.25581646274975,487.83741435900276,467.4463446532576,495.6664778957765
580.1444572392636,449.42321461588386,518.426457346305,614.0347793902686,561.5836107809266,595.821727562407
580.204685825971,257.2492938625919,266.1632345977467,409.73975909530947,413.38021740382135,475.6390256436828
580.264911178062,219.23248809500592,276.1690800963384,425.7581204126234,395.3604056961817,383.5298464654494
