Wavelength,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15
706.8833630364412,123.03795726253911,113.94819051873648,138.12789302590832,137.40064103080203,124.67415991045706,132.49175913371624,133.58261136102814,139.03696172353162,116.31148930679333,152.49165671285238,114.31177308587537,90.49855971298548,119.76559272397735,125.40136543842549,114.85714820671822
706.9359596045042,89.04441368074698,91.95271689335003,70.14153843286427,89.40794914262896,80.68329129448973,110.49418997479934,79.5927375237286,63.0534553686987,86.31791998428814,100.49611446091033,94.31574603929583,60.50908190521292,59.78212454802892,73.41305303233455,38.88334556159359
706.9885525866349,153.03713610617635,211.9572775678845,176.1304198590522,225.4166047047881,210.68414041495197,176.4941140901416,213.59417902454564,167.0382692108176,226.3260480760222,242.51475439279127,192.3154177894927,222.506410795247,223.77961596103137,221.41509787279284,190.86053620845678
707.0411419826759,109.03989231598747,129.94646048660383,102.13212770834613,145.40055746667255,146.6733006535131,108.49453350492723,149.58245789945366,81.04681062810744,122.31076044214393,118.4930212265243,132.3099510090331,66.50659000678883,109.76703978317114,117.40225222927768,74.867078015434
707.0937277924706,95.04283783007885,147.94605182452926,90.13502215904573,133.40080224246404,146.6733006535131,104.49528251801986,157.58285422057907,121.03817246667289,138.30970643633106,126.49217874401386,126.31037610888426,106.49489766971827,115.76611012604685,131.40091287293174,102.85924917614845
707.1463100158619,135.03709026526803,111.94849852201371,104.1317183528188,121.4017681915591,122.67435851696355,106.49489766971827,97.58768091325668,99.04189216874413,68.32405528174087,150.49157807023022,96.31525513310285,132.49175913371624,125.76496920542638,131.40091287293174,104.85884736859066
707.1988886526927,99.04189216874413,129.94646048660383,70.14153843286427,161.4013351321874,124.67415991045706,128.49201873973988,89.58971713520737,91.04386735022312,144.30964109911625,114.4935646235083,112.31207735793377,116.49328270501489,87.77204506245347,131.40091287293174,92.86157078378359
707.2514637028064,51.05886227706708,93.95220118421629,62.144746508060436,85.40909749820771,84.68204266329805,66.50659000678883,75.59409476589872,53.057906253863514,72.32254175759299,104.49528251801986,64.32565532663607,80.50153189196793,99.76900193642412,71.41378725474891,26.890364675932023
707.3040351660457,15.079893901822818,51.9675158975988,44.15324410545569,41.4274151520568,46.697388449287764,52.51271025642278,83.59146567312327,63.0534553686987,64.32565532663607,104.49528251801986,38.3381925048375,36.521027684163016,43.78979785234184,25.436725303846796,-3.088489374096733
707.3566030422536,83.04617954820563,137.946079780108,90.13502215904573,153.4007898436086,120.67457741385017,102.49568809875268,97.58768091325668,113.03923706666568,142.3096430426264,112.49386703056015,118.31122597212516,108.49453350492723,111.76670935879298,125.40136543842549,76.86638090205444
707.4091673312732,191.04239586595833,207.95601425292094,148.1278740714457,193.40658545053648,216.68613716243874,168.49298671941418,161.58316931992553,163.03784858018508,202.31799479144345,170.4932398743272,168.31114647501795,178.49444359083466,193.77030923613307,173.40273319234763,148.8551646853292
707.4617280329477,49.0598403675977,69.9597893144008,30.161097110287088,43.42635233486684,72.68604480451572,58.509956125339194,17.623620126212543,21.07587939146636,58.32821850217467,72.50429319210743,68.32405528174087,46.51566266063612,49.78675486912635,77.41164904459892,30.88793476778364
707.5142851471198,87.04498112419833,139.9460345322398,114.12998171760609,73.41305303233455,108.67631960479524,52.51271025642278,71.59553779922855,83.04617954820563,110.31240217160378,114.4935646235083,40.337095181267564,116.49328270501489,75.77584939674433,87.40851274368197,72.86779659478027
707.5668386736328,45.061862954639054,43.97152088696318,20.167383493559957,57.4195330998295,22.711183896314985,58.509956125339194,73.59480553364754,7.085568780022273,52.33097862136189,82.50089500474658,38.3381925048375,50.51367229293664,49.78675486912635,59.418646952544854,46.87911442123402
707.6193886123293,159.03750527095755,133.94623009468268,100.13255785421417,155.4008969482226,86.68145020430114,112.49386703056015,165.58356187704283,139.03696172353162,162.31050767089027,158.49200992211698,92.31625792810642,126.49217874401386,141.76419246499805,149.40063435227444,96.86057943017879
707.6719349630529,19.077194652053635,61.96300527592907,50.15021321589962,107.40382048822492,60.69082169558212,82.50089500474658,43.60807500163038,57.056060205891406,56.329116591691935,98.49656165355984,56.329116591691935,58.509956125339194,63.78042569491084,49.42329725292366,16.89683741015222
707.7244777256464,99.04189216874413,109.94882707575317,56.14738114121381,95.40638476518946,112.67565687291541,80.50153189196793,65.5978640846916,83.04617954820563,80.31977266568744,92.49802870623026,56.329116591691935,90.49855971298548,79.7744960446689,103.4045920797019,116.8568700081985
707.7770168999526,69.05104639916543,59.96386361660505,86.13615513683172,71.41378725474891,78.68394756620553,68.50580279304903,87.59027881567543,59.055170079538044,104.31350034972965,100.49611446091033,74.32181731520238,56.51085222343699,57.78300671791983,55.420441152731016,58.873431914059026
707.8295524858148,135.03709026526803,155.94638409199533,112.13028785507294,185.4048184463967,128.67382337562057,148.49151905321486,115.58431740389247,105.04063005079742,138.30970643633106,120.49278013955325,124.31055815006907,156.4918726859491,155.76455488289264,113.40281793889254,110.8577660915476
707.8820844830758,75.04883193703706,55.965645872040376,58.146481059858075,115.4025248508458,70.68678685840791,42.5177417616186,75.59409476589872,47.06084057643627,98.31478516023351,94.49751872696929,28.344016048710976,68.50580279304903,93.77042901688411,85.40909749820771,22.892885339416946
707.9346128915788,45.061862954639054,53.96656988816571,76.13935919004848,59.418646952544854,40.70053443337525,64.50739889645017,67.5970670245033,25.073317338272453,98.31478516023351,58.509956125339194,52.33097862136189,48.51465641067394,95.7699323930508,77.41164904459892,10.900996023073557
707.9871377111668,163.03784858018508,199.95370753841433,140.12784958691748,195.40707388414947,172.67535607110102,168.49298671941418,193.5884472663804,151.03705211932106,110.31240217160378,190.49681735676464,118.31122597212516,194.4977586535489,135.7643336841328,179.4036905469631,116.8568700081985
708.0396589416827,121.03817246667289,139.9460345322398,136.12795638424498,127.40119442286044,160.67399998230545,106.49489766971827,133.58261136102814,147.03694303105465,156.31004299355885,140.491480188922,140.3096648058233,134.49165943594102,117.76584122044146,149.40063435227444,104.85884736859066
708.0921765829696,133.03718450204227,111.94849852201371,114.12998171760609,157.40102356256884,150.67340259111288,166.492752767325,79.5927375237286,105.04063005079742,178.3125946698104,114.4935646235083,108.31274757559358,110.49418997479934,139.76421964182646,117.40225222927768,94.86106462239798
