Wavelength,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
757.9308462434284,69.23279462514249,86.68145020430114,93.40688520282066,81.41033066624158,81.04681062810744
757.9798009228581,67.23357396921027,104.67706485765251,109.40346570887728,123.40155667858075,69.05104639916543
758.0287518603194,71.23203688838929,92.67979965813505,75.41234031230714,61.41778266021106,93.0433420831386
758.0776990556557,183.22257046566384,162.67417780588747,175.40303328394762,173.40273319234763,181.04034493127728
758.1266425087094,39.246781857581084,66.68833572877915,35.43073769102933,47.424293436456324,69.05104639916543
758.1755822193243,159.21933737501223,90.68032875125822,115.4025248508458,151.4007022958833,143.03691277248365
758.2245181873428,127.21939095345179,114.67535633046802,113.40281793889254,113.40281793889254,137.03701602170216
758.2734504126082,95.22461121102182,44.69841486377535,109.40346570887728,87.40851274368197,121.03817246667289
758.3223788949635,241.24144348587015,204.6823077770551,265.4355532641529,263.4344412099158,229.0544003421834
758.3713036342518,179.2218408423856,166.67459142278256,133.40080224246404,159.40116963956194,185.04110889337505
758.420224630316,215.23109264372363,198.6806404715755,221.41509787279284,195.40707388414947,257.0673802456245
758.4691418829992,257.2492938625919,204.6823077770551,219.41437142387176,221.41509787279284,211.04789313424203
758.5180553921444,177.22150443800078,160.67399998230545,179.4036905469631,171.4024521892615,193.04286228071385
758.5669651575945,17.260228389015715,62.68997128459893,95.40638476518946,73.41305303233455,67.05182771002757
758.6158711791927,193.22472378863623,190.67867670538072,251.4281288094296,195.40707388414947,201.0449138374881
758.664773456782,11.264374444047517,12.71789576003637,53.42137116199042,23.437990798782074,33.06846564919914
758.7136719902052,185.22296359213772,158.6738415444747,193.40658545053648,179.4036905469631,181.04034493127728
758.7625667793056,53.239638616969145,46.697388449287764,99.40544670783581,123.40155667858075,77.04813677262788
758.8114578239262,87.22674684651048,108.67631960479524,69.41454302969233,39.42850028290421,39.06506361713128
758.86034512391,183.22257046566384,208.68351124098268,221.41509787279284,197.40758089918972,205.0460505155561
758.9092286790997,173.22088867531423,186.6778067771997,187.40523209610706,221.41509787279284,179.03999129444915
758.9581084893387,197.22571585846924,176.6759614414486,233.4198328538428,197.40758089918972,149.0369877451765
759.0069845544698,13.262969398953706,14.716507479554439,27.435482535464235,25.436725303846796,17.078532804772582
759.0558568743363,115.22073246694345,144.67327923505837,159.40116963956194,125.40136543842549,139.03696172353162
759.104725448781,221.23321290597852,196.6801216557786,199.40810644997742,227.41738499836345,215.04921275285318
