Wavelength,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
727.4907368649632,2864.7304423069722,2822.279138576234,2786.3856815706336,2741.7451377856005,2792.944970865844
727.541904774487,2882.767244347379,2806.245643660527,2806.427843650598,2747.7580407768423,2821.00375465331
727.5930690360719,2880.7631683935306,2954.5474354249395,2872.5646415948195,2801.872835732563,2772.9025872895418
727.6442296495616,2730.448088599083,2732.0879893063684,2842.502905346168,2811.8938306943687,2696.738532303607
727.6953866147985,3373.6689401707044,3353.271543741537,3369.4802141204714,3290.8025924727813,3281.8782171096177
727.7465399316259,3459.8081761765156,3543.5749045666166,3453.6165272159014,3481.1145257199087,3528.2787343031823
727.7976895998867,2980.9629453186913,3042.71837808491,2884.5891287236655,2924.1233506740664,2917.2003995126315
727.8488356194239,2876.755006616245,2794.220384133306,2852.5235664145193,2801.872835732563,2764.885541709609
727.8999779900806,3069.1320047492945,2982.602509994034,2952.7256551882765,2870.013977581159,2931.228444052156
727.9511167117,2758.5083087791345,2760.1481718554373,2724.2528883267373,2769.8050986464505,2821.00375465331
728.0022517841247,2958.919696963451,2972.58291398332,2926.673901758287,2880.0344126855953,2857.0783851380334
728.0533832071982,2642.25464694102,2585.763807229937,2499.7470694331755,2521.2518001431663,2462.204051059421
728.1045109807633,3321.5821199802335,3225.0521987614607,3265.304216741668,3264.757817564528,3233.7948243097658
728.1556351046629,2852.705759490034,2836.30827368316,2896.6134974443316,2789.8475330933134,2712.7734638369043
728.2067555787402,3067.128232008532,3046.7259988954556,3054.923364870509,3048.365476412104,2979.323378460101
728.2578724028381,3077.1470635571177,2998.633694097969,2978.7768556886595,3002.2771159718636,3081.5188921509166
728.3089855767996,3205.3810753348544,3215.0345344456764,3173.141639469935,3196.6382574978243,3181.702472696567
728.360095100468,3588.0057367149884,3561.6023290657863,3595.8356231076064,3451.067016787804,3626.426418332478
728.4112009736859,3173.323785454711,2960.5592910271043,3076.964903700663,3046.3616702648324,3085.526388275038
728.4623031962967,2744.4782791741927,2683.983323641393,2732.27020036045,2709.6758229385473,2738.8297802392494
728.5134017681432,2806.6100436134466,2752.1310425599922,2782.3772096417724,2715.6888834166534,2891.14788997258
728.5644966890686,3143.2693456423467,3194.9989725364917,3076.964903700663,3128.515087528204,3119.589588530887
728.6155879589157,2730.448088599083,2683.983323641393,2802.4194375809975,2747.7580407768423,2680.7033914604513
728.6666755775276,3517.8990987269995,3487.4881579538014,3419.56196897844,3400.9864037378384,3428.121214222529
728.7177595447474,2942.8879951715066,2924.4877154399896,2918.6578661695744,2962.198882902294,2895.156004509378
728.7688398604182,3079.1508202263976,3096.8201720147877,3076.964903700663,3060.3882455303387,3071.5000956594517
728.8199165243827,2684.347760010718,2633.872297416636,2674.1435008824965,2585.3993418941527,2598.5200271115814
728.8709895364842,2772.5381772688384,2673.9612812010328,2776.3644770606625,2695.6452338907284,2704.756024258044
